target,text,processed_text
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazi avail onli in bugi n great world la e buffet cine there got amor wat
0,Ok lar... Joking wif u oni...,ok lar joke wif u oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri in a wkli comp to win fa cup final tkt st may text fa to to receiv entri question std txt rate t c s appli over s
0,U dun say so early hor... U c already then say...,u dun say so earli hor u c alreadi then say
0,"Nah I don't think he goes to usf, he lives around here though",nah i don t think he goe to usf he live around here though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey there darl it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chg to send to rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aid patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request mell mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press to copi your friend callertun
1,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valu network custom you have been select to receivea prize reward to claim call claim code kl valid hour onli
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobil month or more u r entitl to updat to the latest colour mobil with camera for free call the mobil updat co free on
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna be home soon and i don t want to talk about thi stuff anymor tonight k i ve cri enough today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc to win cash from to pound txt csh and send to cost p day day tsandc appli repli hl info
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a week free membership in our prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnw a rw
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve been search for the right word to thank you for thi breather i promis i wont take your help for grant and will fulfil my promis you have been wonder and a bless at all time
0,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt messag or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl
0,Oh k...i'm watching here:),oh k i m watch here
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u rememb how spell hi name ye i did he v naughti make until i v wet
0,Fine if thats the way u feel. Thats the way its gota b,fine if that s the way u feel that s the way it gota b
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss the goal team news txt ur nation team to eg england to tri wale scotland txt poboxox w wq
0,Is that seriously how you spell his name?,is that serious how you spell hi name
0,I‘m going to try for 2 months ha ha only joking,i m go to tri for month ha ha onli joke
0,So ü pay first lar... Then when is da stock comin...,so pay first lar then when is da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch alreadi
0,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forc myself to eat a slice i m realli not hungri tho thi suck mark is get worri he know i m sick when i turn down pizza lol
0,Lol your always so convincing.,lol your alway so convinc
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bu are you fri an egg did you make a tea are you eat your mom s left over dinner do you feel my love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i m back amp we re pack the car now i ll let you know if there s room
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vagu rememb that what doe it feel like lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that s still not all that clear were you not sure about me be sarcast or that that s whi x doesn t want to live with us
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at and wa v apologet n had fallen out and she wa actin like spoilt child and he got caught up in that till but we won t go there not do too badli cheer you
0,K tell me anything about you.,k tell me anyth about you
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of faint with the of all that housework you just did quick have a cuppa
